evidence,date,event,names,rounds,results
STRONG,2020-02-01,North Oldham Mustang,Cole Cecil vs Micah Chappell,quarterfinals | 3rd place match,Fall 0:54 | Fall 1:17
STRONG,2020-02-08,KHSAA Region 3,Cole Cecil vs Michael Reese,quarterfinals | 3rd place match,Dec 8-6 | Dec 8-7
STRONG,2020-01-04,Valley Main Event,Joshua Wood vs Malachia Harris,None | cons. round 2,Fall 3:04 | Fall 2:58
STRONG,2020-01-04,Valley Main Event,Zack Collins vs Zechariah Harlan,None | cons. round 3,Fall 1:55 | Fall 2:11
WEAK,2020-01-25,Ft. Knox Individual,Collin Teutsch vs Ryland Eaves,None | quarterfinals,TF 18-2 0:00 | TF 18-3 0:00
STRONG,2020-01-25,Ft. Knox Individual,Coty Harris vs Colin Bratcher,quarterfinals | 3rd place match,Fall 3:00 | Fall 4:00
STRONG,2020-01-25,Ft. Knox Individual,Coty Harris vs Isaac Fain,None | None,Dec 11-8 | Dec 9-8
STRONG,2020-02-08,KHSAA Region 1 @ Trigg County,Easton Givens vs Coty Harris,quarterfinals | 3rd place match,Dec 9-3 | Dec 9-3
STRONG,2020-01-18,Calloway Co. Laker Invitational,Ronald McGee vs Blaine Hicks,None | None,Dec 9-7 | Dec 11-5
STRONG,2020-01-18,Calloway Co Invitational,Blaine Hicks vs Sebastian Ellis,champ. round 1 | cons. semis,Fall 0:00 | Fall 0:00
STRONG,2020-01-25,Ft. Knox Individual,Blaine Hicks vs Tyler Pyles,None | quarterfinals,MD 14-2 | MD 12-2
STRONG,2020-02-08,KHSAA Region 1 @ Trigg County,Jack Probus vs Blaine Hicks,quarterfinals | 3rd place match,Dec 5-3 | Dec 7-2
STRONG,2020-01-11,Hendersonville Invitational,John Paredes vs 10717210132,None | None,MD 12-4 | MD 9-0
STRONG,2020-01-18,Calloway Co Invitational,Sam Teutsch vs Desmond Washington,champ. round 2 | 3rd place match,Fall 0:00 | Fall 0:00
STRONG,2020-01-11,Hendersonville Invitational,Nick Watters vs 10699903132,quarterfinals | 5th place match,Fall 5:19 | Fall 3:41
STRONG,2019-12-14,2019 Ryle Raider Rumble,Harrison Turrey vs Jonah Bowers,None | 3rd place match,MD 16-3 | MD 12-3
STRONG,2020-01-04,Valley View Invitational,10814072132 vs Jason Holden,None | 3rd place match,Fall 3:17 | Fall 2:54
STRONG,2019-12-07,Franklin Invitational,Owen Stacey vs 11018132132,round 3 | 3rd place match,Fall 0:53 | Fall 1:30
STRONG,2020-01-11,Tates Creek Invitational,Bryce Dennemann vs Landon Cord,champ. round 1 | cons. round 3,Fall 1:31 | Fall 1:22
STRONG,2019-12-14,Sycamore Invitational,10646433132 vs Kaden Morency,None | None,Fall 1:39 | Fall 5:15
STRONG,2019-12-14,Sycamore Invitational,Kaden Morency vs 11075957132,None | 5th place match,Fall 0:29 | Fall 2:06
STRONG,2020-02-08,KHSAA Region 6,Jack Hamburg vs Brandon Richmond,quarterfinals | 5th place match,Fall 3:00 | Fall 1:45
STRONG,2020-01-04,Valley View Invitational,10788624132 vs Max Elsbernd,None | 5th place match,Fall 2:15 | Fall 1:13
